iter	Passed	Remaining
0	6486	12965536
1	13357	13344562
2	19918	13259018
3	26568	13257439
4	32818	13094420
5	39072	12985257
6	45462	12943718
7	52438	13057163
8	57148	12642531
9	58542	11649889
10	60067	10861338
11	61422	10175703
12	62785	9596481
13	64180	9104516
14	65741	8699725
15	67150	8326646
16	68375	7975838
17	69915	7698494
18	71313	7435366
19	72631	7190482
20	74137	6986589
21	75465	6785042
22	76814	6602729
23	76855	6327748
24	78485	6200390
25	79817	6059976
26	81128	5928397
27	82650	5820987
28	83893	5701840
29	85280	5600061
30	86861	5517080
31	88541	5445276
32	90547	5397159
33	92426	5344448
34	95051	5336476
35	99217	5412867
36	106153	5631864
37	112200	5793094
38	119152	5991239
39	125855	6166929
40	132470	6329520
41	139019	6480963
42	145431	6618815
43	152260	6768669
44	159480	6928558
45	165657	7036842
46	172877	7183604
47	179889	7315488
48	186330	7418987
49	192856	7521390
50	199261	7614931
51	205719	7706553
52	213106	7828644
53	219753	7919255
54	227008	8027855
55	233520	8106514
56	240022	8181812
57	246860	8265561
58	252978	8322577
59	260215	8413636
60	266784	8480244
61	273459	8547802
62	279957	8607567
63	286664	8671613
64	294092	8754908
65	300614	8808901
66	307635	8875527
67	314548	8936881
68	320775	8977072
69	327020	9016434
70	334097	9077089
71	340764	9124916
72	347539	9174089
73	354254	9220189
74	357657	9179888
75	359251	9094743
76	360577	9005059
77	361868	8916806
78	363503	8839112
79	364932	8758391
80	366189	8675524
81	367749	8601756
82	369068	8524146
83	370716	8455858
84	372021	8381436
85	373362	8309479
86	374763	8240490
87	376333	8176711
88	377726	8110515
89	379294	8049479
90	380560	7983414
91	382011	7922578
92	383606	7865997
93	384960	7805679
94	386324	7746814
95	388247	7700248
96	390000	7651253
97	392188	7611663
98	394787	7580724
99	398826	7577705
100	405543	7625024
101	411743	7661661
102	418259	7703281
103	424689	7742410
104	430757	7774145
105	437086	7809820
106	444143	7857604
107	450555	7893068
108	456996	7928259
109	463167	7958058
110	469917	7997071
111	476888	8038971
112	483072	8066885
113	490144	8108880
114	496980	8146150
115	503655	8180054
116	510707	8219338
117	517830	8258955
118	524232	8286394
119	531575	8328020
120	537847	8352200
121	545136	8391521
