iter	RMSE
0	1.242258215
1	1.228996716
2	1.217007049
3	1.207294503
4	1.196341175
5	1.185202487
6	1.175860773
7	1.166974316
8	1.159299737
9	1.151300852
10	1.143030657
11	1.135704507
12	1.128331068
13	1.121842232
14	1.115203755
15	1.108795006
16	1.102590162
17	1.097074395
18	1.091574861
19	1.086276499
20	1.081210635
21	1.076381468
22	1.071357585
23	1.066283114
24	1.0617081
25	1.056890875
26	1.052438761
27	1.048300517
28	1.044376286
29	1.040643007
30	1.036793765
31	1.033002242
32	1.028734365
33	1.024930122
34	1.021386223
35	1.017943797
36	1.014815109
37	1.011705795
38	1.00865946
39	1.005675654
40	1.002679115
41	0.9997273553
42	0.9966302633
43	0.9940187348
44	0.9910705797
45	0.9881437224
46	0.9849234626
47	0.9823213936
48	0.9800314985
49	0.9776180202
50	0.9751134361
51	0.9728478481
52	0.9707435687
53	0.9677583596
54	0.9649270309
55	0.9625763854
56	0.9604602772
57	0.9583006286
58	0.9562457949
59	0.9542883866
60	0.9519291505
61	0.9499313732
62	0.9477764807
63	0.9456615541
64	0.9440906803
65	0.9424843455
66	0.9405594658
67	0.9389102538
68	0.9363596
69	0.9347307174
70	0.932901465
71	0.931067346
72	0.9292730926
73	0.9272719278
74	0.9258917736
75	0.9238425117
76	0.921905849
77	0.9199734185
78	0.9184250579
79	0.9166187865
80	0.9146720969
81	0.9131427373
82	0.9114590728
83	0.909890261
84	0.9086986268
85	0.9070939844
86	0.9059636697
87	0.9043622969
88	0.9029063403
89	0.901190679
90	0.8991703907
91	0.8979065703
92	0.8965147396
93	0.8948513851
94	0.8931193964
95	0.8917849546
96	0.8902234329
97	0.8884380429
98	0.88716889
99	0.8861447837
100	0.8852679311
101	0.8837206898
102	0.8821923847
103	0.8805915173
104	0.8788300192
105	0.877432082
106	0.8760570984
107	0.8751002735
108	0.8735802579
109	0.8719370222
110	0.8708477312
111	0.8694054653
112	0.8681738372
113	0.8668859911
114	0.8659488239
115	0.8649194928
116	0.8633677594
117	0.862175894
118	0.8614089986
119	0.8601099842
120	0.8594545907
121	0.8580180552
122	0.8570081823
123	0.8554406039
124	0.8539804684
125	0.8524496652
126	0.8510950868
127	0.8501288014
128	0.849280898
129	0.8480188632
130	0.8468650893
131	0.8454502949
132	0.8445263455
133	0.843365617
134	0.8426725007
135	0.8416207287
136	0.8404544157
137	0.8395006881
138	0.8381978614
139	0.8372860109
140	0.8365371042
141	0.8349704849
142	0.8341769831
143	0.8334549141
144	0.8325461262
145	0.8312657016
146	0.8301193333
147	0.8288551691
148	0.8274814595
149	0.8264980365
150	0.8253546632
151	0.8244897153
152	0.82320547
153	0.8221394984
154	0.8215530583
155	0.820550138
156	0.8197684344
157	0.8190155989
158	0.8173829993
159	0.8158119503
160	0.8143338622
161	0.8135094368
162	0.8123937042
163	0.8113410277
164	0.8103585694
165	0.8092430311
166	0.8080663164
167	0.8065421467
168	0.8057950694
169	0.8047806443
170	0.8038138721
171	0.8025710534
172	0.8017339725
173	0.8007841455
174	0.7999977892
175	0.7996792761
176	0.7986209532
177	0.7970918417
178	0.7959087817
179	0.7950928152
180	0.7942389302
181	0.793181963
182	0.7928077792
183	0.7918189187
184	0.790707519
185	0.7894138766
186	0.7889113866
187	0.7882211796
188	0.7871587055
189	0.7860432402
190	0.7853199423
191	0.7845919553
192	0.784129417
193	0.7835090795
194	0.7822719083
195	0.7817914869
196	0.7812121246
197	0.780092403
198	0.7784689189
199	0.7773136008
200	0.7764634551
201	0.775671201
202	0.7745877888
203	0.773636345
204	0.7724964871
205	0.7715474323
206	0.7709358756
207	0.7700981602
208	0.7692372372
209	0.7681188932
210	0.7671201371
211	0.7658334178
212	0.7646327539
213	0.7635254593
214	0.7626103121
215	0.7613484675
216	0.7602908957
217	0.7589725475
218	0.7582727495
219	0.7570634509
220	0.7561937529
221	0.7551023869
222	0.7540024069
223	0.7532732053
224	0.7521726731
225	0.7508621065
226	0.749871783
227	0.7487313759
228	0.747634051
229	0.7468851154
230	0.7457513457
231	0.7445175864
232	0.743389247
233	0.7423133905
234	0.7410689657
235	0.7398667211
236	0.7386659739
237	0.7377903147
238	0.7369163579
239	0.7359712972
240	0.7352691716
241	0.7345018285
242	0.7332320011
243	0.7319118468
244	0.7309775942
245	0.7297544454
246	0.7286886664
247	0.7274733742
248	0.7262142505
249	0.724883231
250	0.723719493
251	0.7223490179
252	0.7213092356
253	0.7201583107
254	0.7191139894
255	0.7179852794
256	0.7167397824
257	0.7160157596
258	0.7149761831
259	0.7137945787
260	0.7127290855
261	0.7115125126
262	0.7103064136
263	0.7093186466
264	0.708220299
265	0.7071744635
266	0.7060889482
267	0.7053244749
268	0.7040600619
269	0.7030005749
270	0.7021694741
271	0.7010872738
272	0.699960712
273	0.6991595039
274	0.6983176166
275	0.6974917025
276	0.6964125955
277	0.69570547
278	0.6946322887
279	0.6939598029
280	0.6931634971
281	0.6923353635
282	0.6913712568
283	0.6901510434
284	0.689621092
285	0.6887869563
286	0.6876099182
287	0.6866149489
288	0.6858335691
289	0.6847894352
290	0.6835613862
291	0.6824306077
292	0.6813197814
293	0.6806175568
294	0.6797619363
295	0.6796072224
296	0.6787967328
297	0.677964665
298	0.6771006203
299	0.6763550397
300	0.6755503722
301	0.6748390023
302	0.6737442641
303	0.6730830745
304	0.6723026059
305	0.6711508015
306	0.6700486215
307	0.6690323558
308	0.6684513951
309	0.6676736737
310	0.6676367965
311	0.6666499583
312	0.665947362
313	0.6649429489
314	0.6638396833
315	0.6627805702
316	0.6617165188
317	0.6608038346
318	0.6601344499
319	0.6594808386
320	0.659174346
321	0.6591417511
322	0.6581076741
323	0.6574468777
324	0.6565560238
325	0.6555644794
326	0.6547731463
327	0.6539339955
328	0.6535536023
329	0.6527053002
330	0.6523111111
331	0.6515203541
332	0.6509675565
333	0.650935307
334	0.650015756
335	0.6492164612
336	0.6491589616
337	0.6486590211
338	0.6476887663
339	0.6471498803
340	0.6466483839
341	0.6458036376
342	0.6457547457
343	0.6451383187
344	0.6443096267
345	0.6434484563
346	0.6423584562
347	0.6420803245
348	0.6418053326
